# 	n	Average duration for bb Average duration for dp Average duration for FPTAS
4	0.0000281   0.00019956  0.0004264
10	0.00017912  0.00102630  0.0007379
15	0.00065894  0.02601701  0.01360554
20	0.01199566  0.33913414  0.1675401
22	0.04560604  0.92095756  0.42981204
25	0.28820524  4.26467252  2.5356958
27	1.04758962  12.4518157  5.06560646
30	7.9157488   40.2586413  22.2205348
